company
Birmingham City FC
Blackburn Rovers FC
Bristol City FC
Charlton Athletic FC
Coventry City FC
Derby County FC
Hull City FC
Ipswich Town FC
Leicester City FC
Middlesbrough FC
Millwall FC
Norwich City FC
Oxford United FC
Portsmouth FC
Preston North End FC
Queens Park Rangers FC
Sheffield United FC
Sheffield Wednesday FC
Southampton FC
Stoke City FC
Swansea City FC
Watford FC
West Bromwich Albion FC
Wrexham AFC
Barnsley FC
Blackpool FC
Bolton Wanderers FC
Bradford City FC
Burton Albion FC
Cardiff City FC
Doncaster Rovers FC
Exeter City FC
Huddersfield Town FC
Leyton Orient FC
Lincoln City FC
Luton Town FC
Mansfield Town FC
Northampton Town FC
Peterborough United FC
Plymouth Argyle FC
Port Vale FC
Reading FC
Rotherham United FC
Stevenage FC
Stockport County FC
Wigan Athletic FC
Wycombe Wanderers FC
Aberdeen FC
Celtic FC
Dundee United FC
Heart of Midlothian FC
Hibernian FC
Kilmarnock FC
Motherwell FC
Rangers FC
St Mirren FC
